org.slf4j,slf4j-api,2.0.7
com.google.guava,guava,32.0.0-jre
org.mockito,mockito-core,5.3.1
com.fasterxml.jackson.core,jackson-databind,2.15.1
org.apache.commons,commons-lang3,3.12.0
ch.qos.logback,logback-classic,1.3.7
commons-io,commons-io,2.13.0
com.google.code.gson,gson,2.10.1
org.projectlombok,lombok,1.18.28
org.clojure,clojure,1.12.0-alpha3
javax.servlet,javax.servlet-api,4.0.1
org.assertj,assertj-core,3.24.2
org.slf4j,slf4j-simple,2.0.7
org.springframework,spring-context,6.0.9
org.junit.jupiter,junit-jupiter-api,5.10.0-M1
org.junit.jupiter,junit-jupiter-engine,5.10.0-M1
com.fasterxml.jackson.core,jackson-core,2.15.1
commons-codec,commons-codec,1.15
com.fasterxml.jackson.core,jackson-annotations,2.15.1
org.testng,testng,7.8.0
org.apache.logging.log4j,log4j-core,2.20.0
org.springframework,spring-test,6.0.9
joda-time,joda-time,2.12.5
org.slf4j,jcl-over-slf4j,2.0.7
org.springframework,spring-web,6.0.9
org.springframework,spring-core,6.0.9
com.h2database,h2,2.1.214
org.apache.logging.log4j,log4j-api,2.20.0
org.apache.maven,maven-plugin-api,3.9.2
org.springframework,spring-beans,6.0.9
org.junit.jupiter,junit-jupiter,5.10.0-M1
org.hamcrest,hamcrest-library,2.2
com.alibaba,fastjson,2.0.33
javax.xml.bind,jaxb-api,2.3.1
ch.qos.logback,logback-core,1.3.7
commons-beanutils,commons-beanutils,1.9.4
org.springframework,spring-webmvc,6.0.9
org.hamcrest,hamcrest-core,2.2
org.junit.jupiter,junit-jupiter-params,5.10.0-M1
com.fasterxml.jackson.datatype,jackson-datatype-jsr310,2.15.1
com.google.inject,guice,7.0.0
org.easymock,easymock,5.1.0
com.google.protobuf,protobuf-java,3.23.1
commons-cli,commons-cli,1.5.0
org.powermock,powermock-module-junit4,2.0.9
org.apache.maven,maven-core,3.9.2
org.springframework,spring-jdbc,6.0.9
org.apache.commons,commons-collections4,4.4
org.postgresql,postgresql,42.6.0
org.yaml,snakeyaml,2.0
org.reflections,reflections,0.10.2
com.sun.xml.bind,jaxb-impl,2.3.8
org.eclipse.jetty,jetty-server,12.0.0.beta1
org.junit.vintage,junit-vintage-engine,5.10.0-M1
org.bouncycastle,bcprov-jdk15on,1.70
org.springframework,spring-tx,6.0.9
org.slf4j,jul-to-slf4j,2.0.7
org.slf4j,log4j-over-slf4j,2.0.7
com.fasterxml.jackson.dataformat,jackson-dataformat-yaml,2.15.1
org.jsoup,jsoup,1.16.1
io.reactivex.rxjava2,rxjava,2.2.21
com.squareup.retrofit2,converter-gson,2.9.0
org.springframework,spring-context-support,6.0.9
org.javassist,javassist,3.29.2-GA
javax.ws.rs,javax.ws.rs-api,2.1.1
org.hsqldb,hsqldb,2.7.2
org.mockito,mockito-junit-jupiter,5.3.1
org.aspectj,aspectjweaver,1.9.19
org.springframework,spring-aop,6.0.9
org.apache.commons,commons-compress,1.23.0
org.apache.commons,commons-text,1.10.0
org.powermock,powermock-api-mockito,1.7.4
org.aspectj,aspectjrt,1.9.19
org.spockframework,spock-core,2.4-M1-groovy-2.5
javax.enterprise,cdi-api,2.0.SP1
commons-fileupload,commons-fileupload,1.5
org.ow2.asm,asm,9.5
org.freemarker,freemarker,2.3.32
com.google.auto.service,auto-service,1.1.0
org.springframework,spring-orm,6.0.9
org.hamcrest,hamcrest,2.2
org.slf4j,slf4j-jdk14,2.0.7
org.apache.maven,maven-artifact,3.9.2
org.apache.poi,poi-ooxml,5.2.3
com.zaxxer,HikariCP,5.0.1
jakarta.servlet,jakarta.servlet-api,6.0.0
org.jboss.logging,jboss-logging,3.5.1.Final
org.bouncycastle,bcpkix-jdk15on,1.70
com.thoughtworks.xstream,xstream,1.4.20
org.objenesis,objenesis,3.3
io.rest-assured,rest-assured,5.2.1
org.junit.platform,junit-platform-launcher,1.10.0-M1
org.apache.poi,poi,5.2.3
org.springframework.security,spring-security-core,6.1.0
jakarta.xml.bind,jakarta.xml.bind-api,4.0.0
